,period_open,period_close,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,returns,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,BATBC,short_mavg,long_mavg
2014-01-01 08:29:00+00:00,2014-01-01 04:01:00+00:00,2014-01-01 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1,2014-01,0.0,,0.0,,,,,,
2014-01-02 08:29:00+00:00,2014-01-02 04:01:00+00:00,2014-01-02 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-06 08:29:00+00:00,2014-01-06 04:01:00+00:00,2014-01-06 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-07 08:29:00+00:00,2014-01-07 04:01:00+00:00,2014-01-07 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-08 08:29:00+00:00,2014-01-08 04:01:00+00:00,2014-01-08 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-09 08:29:00+00:00,2014-01-09 04:01:00+00:00,2014-01-09 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-12 08:29:00+00:00,2014-01-12 04:01:00+00:00,2014-01-12 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-13 08:29:00+00:00,2014-01-13 04:01:00+00:00,2014-01-13 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-15 08:29:00+00:00,2014-01-15 04:01:00+00:00,2014-01-15 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-16 08:29:00+00:00,2014-01-16 04:01:00+00:00,2014-01-16 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-19 08:29:00+00:00,2014-01-19 04:01:00+00:00,2014-01-19 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,11,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-20 08:29:00+00:00,2014-01-20 04:01:00+00:00,2014-01-20 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,12,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-21 08:29:00+00:00,2014-01-21 04:01:00+00:00,2014-01-21 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,13,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-22 08:29:00+00:00,2014-01-22 04:01:00+00:00,2014-01-22 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,14,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-23 08:29:00+00:00,2014-01-23 04:01:00+00:00,2014-01-23 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,15,2014-01,0.0,0.0,0.0,0.0,,,,,
2014-01-26 08:29:00+00:00,2014-01-26 04:01:00+00:00,2014-01-26 08:29:00+00:00,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,16,2014-01,0.0,0.0,0.0,0.0,,,,,
